Subregion,Region,Lat,Long,Day,Count
All,Japan,36,138,2020-02-13,1
All,Philippines,13,122,2020-02-13,1
Hubei,China,30.9756,112.2707,2020-02-13,1310
Guangdong,China,23.3417,113.4244,2020-02-13,2
Henan,China,33.882,113.614,2020-02-13,10
Hunan,China,27.6104,111.7088,2020-02-13,2
Anhui,China,31.8257,117.2264,2020-02-13,5
Jiangxi,China,27.614,115.7221,2020-02-13,1
Shandong,China,36.3427,118.1498,2020-02-13,2
Chongqing,China,30.0572,107.874,2020-02-13,4
Sichuan,China,30.6171,102.7103,2020-02-13,1
Heilongjiang,China,47.862,127.7615,2020-02-13,9
Beijing,China,40.1824,116.4142,2020-02-13,3
Shanghai,China,31.202,121.4491,2020-02-13,1
Hebei,China,39.549,116.1306,2020-02-13,3
Guangxi,China,23.8298,108.7881,2020-02-13,2
Hainan,China,19.1959,109.7453,2020-02-13,4
Guizhou,China,26.8154,106.8748,2020-02-13,1
Tianjin,China,39.3054,117.323,2020-02-13,3
Gansu,China,37.8099,101.0583,2020-02-13,2
Hong Kong,China,22.3,114.2,2020-02-13,1
Liaoning,China,41.2956,122.6085,2020-02-13,1
Jilin,China,43.6661,126.1923,2020-02-13,1
Xinjiang,China,41.1129,85.2401,2020-02-13,1
All,Japan,36,138,2020-02-14,1
All,Philippines,13,122,2020-02-14,1
Hubei,China,30.9756,112.2707,2020-02-14,1457
Guangdong,China,23.3417,113.4244,2020-02-14,2
Henan,China,33.882,113.614,2020-02-14,11
Hunan,China,27.6104,111.7088,2020-02-14,2
Anhui,China,31.8257,117.2264,2020-02-14,6
Jiangxi,China,27.614,115.7221,2020-02-14,1
Shandong,China,36.3427,118.1498,2020-02-14,2
Chongqing,China,30.0572,107.874,2020-02-14,5
Sichuan,China,30.6171,102.7103,2020-02-14,1
Heilongjiang,China,47.862,127.7615,2020-02-14,11
Beijing,China,40.1824,116.4142,2020-02-14,3
Shanghai,China,31.202,121.4491,2020-02-14,1
Hebei,China,39.549,116.1306,2020-02-14,3
Guangxi,China,23.8298,108.7881,2020-02-14,2
Hainan,China,19.1959,109.7453,2020-02-14,4
Guizhou,China,26.8154,106.8748,2020-02-14,1
Tianjin,China,39.3054,117.323,2020-02-14,3
Gansu,China,37.8099,101.0583,2020-02-14,2
Hong Kong,China,22.3,114.2,2020-02-14,1
Liaoning,China,41.2956,122.6085,2020-02-14,1
Jilin,China,43.6661,126.1923,2020-02-14,1
Xinjiang,China,41.1129,85.2401,2020-02-14,1
All,Japan,36,138,2020-02-15,1
All,Philippines,13,122,2020-02-15,1
Hubei,China,30.9756,112.2707,2020-02-15,1596
France,France,46.2276,2.2137,2020-02-15,1
Guangdong,China,23.3417,113.4244,2020-02-15,2
Henan,China,33.882,113.614,2020-02-15,13
Hunan,China,27.6104,111.7088,2020-02-15,2
Anhui,China,31.8257,117.2264,2020-02-15,6
Jiangxi,China,27.614,115.7221,2020-02-15,1
Shandong,China,36.3427,118.1498,2020-02-15,2
Chongqing,China,30.0572,107.874,2020-02-15,5
Sichuan,China,30.6171,102.7103,2020-02-15,1
Heilongjiang,China,47.862,127.7615,2020-02-15,11
Beijing,China,40.1824,116.4142,2020-02-15,4
Shanghai,China,31.202,121.4491,2020-02-15,1
Hebei,China,39.549,116.1306,2020-02-15,3
Guangxi,China,23.8298,108.7881,2020-02-15,2
Hainan,China,19.1959,109.7453,2020-02-15,4
Guizhou,China,26.8154,106.8748,2020-02-15,1
Tianjin,China,39.3054,117.323,2020-02-15,3
Gansu,China,37.8099,101.0583,2020-02-15,2
Hong Kong,China,22.3,114.2,2020-02-15,1
Liaoning,China,41.2956,122.6085,2020-02-15,1
Jilin,China,43.6661,126.1923,2020-02-15,1
Xinjiang,China,41.1129,85.2401,2020-02-15,1
All,Japan,36,138,2020-02-16,1
All,Philippines,13,122,2020-02-16,1
Hubei,China,30.9756,112.2707,2020-02-16,1696
France,France,46.2276,2.2137,2020-02-16,1
Guangdong,China,23.3417,113.4244,2020-02-16,2
Henan,China,33.882,113.614,2020-02-16,13
Hunan,China,27.6104,111.7088,2020-02-16,3
Anhui,China,31.8257,117.2264,2020-02-16,6
Jiangxi,China,27.614,115.7221,2020-02-16,1
Shandong,China,36.3427,118.1498,2020-02-16,2
Chongqing,China,30.0572,107.874,2020-02-16,5
Sichuan,China,30.6171,102.7103,2020-02-16,3
Heilongjiang,China,47.862,127.7615,2020-02-16,11
Beijing,China,40.1824,116.4142,2020-02-16,4
Shanghai,China,31.202,121.4491,2020-02-16,1
Hebei,China,39.549,116.1306,2020-02-16,3
Guangxi,China,23.8298,108.7881,2020-02-16,2
Hainan,China,19.1959,109.7453,2020-02-16,4
Guizhou,China,26.8154,106.8748,2020-02-16,1
Tianjin,China,39.3054,117.323,2020-02-16,3
Gansu,China,37.8099,101.0583,2020-02-16,2
Hong Kong,China,22.3,114.2,2020-02-16,1
Liaoning,China,41.2956,122.6085,2020-02-16,1
Jilin,China,43.6661,126.1923,2020-02-16,1
Xinjiang,China,41.1129,85.2401,2020-02-16,1
All,Taiwan*,23.7,121,2020-02-16,1
All,Japan,36,138,2020-02-17,1
All,Philippines,13,122,2020-02-17,1
Hubei,China,30.9756,112.2707,2020-02-17,1789
France,France,46.2276,2.2137,2020-02-17,1
Guangdong,China,23.3417,113.4244,2020-02-17,4
Henan,China,33.882,113.614,2020-02-17,16
Hunan,China,27.6104,111.7088,2020-02-17,3
Anhui,China,31.8257,117.2264,2020-02-17,6
Jiangxi,China,27.614,115.7221,2020-02-17,1
Shandong,China,36.3427,118.1498,2020-02-17,2
Chongqing,China,30.0572,107.874,2020-02-17,5
Sichuan,China,30.6171,102.7103,2020-02-17,3
Heilongjiang,China,47.862,127.7615,2020-02-17,11
Beijing,China,40.1824,116.4142,2020-02-17,4
Shanghai,China,31.202,121.4491,2020-02-17,1
Hebei,China,39.549,116.1306,2020-02-17,3
Guangxi,China,23.8298,108.7881,2020-02-17,2
Hainan,China,19.1959,109.7453,2020-02-17,4
Guizhou,China,26.8154,106.8748,2020-02-17,1
Tianjin,China,39.3054,117.323,2020-02-17,3
Gansu,China,37.8099,101.0583,2020-02-17,2
Hong Kong,China,22.3,114.2,2020-02-17,1
Liaoning,China,41.2956,122.6085,2020-02-17,1
Jilin,China,43.6661,126.1923,2020-02-17,1
Xinjiang,China,41.1129,85.2401,2020-02-17,1
All,Taiwan*,23.7,121,2020-02-17,1
All,Japan,36,138,2020-02-18,1
All,Philippines,13,122,2020-02-18,1
Hubei,China,30.9756,112.2707,2020-02-18,1921
France,France,46.2276,2.2137,2020-02-18,1
Guangdong,China,23.3417,113.4244,2020-02-18,4
Henan,China,33.882,113.614,2020-02-18,19
Hunan,China,27.6104,111.7088,2020-02-18,4
Anhui,China,31.8257,117.2264,2020-02-18,6
Jiangxi,China,27.614,115.7221,2020-02-18,1
Shandong,China,36.3427,118.1498,2020-02-18,3
Chongqing,China,30.0572,107.874,2020-02-18,5
Sichuan,China,30.6171,102.7103,2020-02-18,3
Heilongjiang,China,47.862,127.7615,2020-02-18,11
Beijing,China,40.1824,116.4142,2020-02-18,4
Shanghai,China,31.202,121.4491,2020-02-18,1
Hebei,China,39.549,116.1306,2020-02-18,4
Guangxi,China,23.8298,108.7881,2020-02-18,2
Hainan,China,19.1959,109.7453,2020-02-18,4
Guizhou,China,26.8154,106.8748,2020-02-18,2
Tianjin,China,39.3054,117.323,2020-02-18,3
Gansu,China,37.8099,101.0583,2020-02-18,2
Hong Kong,China,22.3,114.2,2020-02-18,1
Liaoning,China,41.2956,122.6085,2020-02-18,1
Jilin,China,43.6661,126.1923,2020-02-18,1
Xinjiang,China,41.1129,85.2401,2020-02-18,1
All,Taiwan*,23.7,121,2020-02-18,1
All,Japan,36,138,2020-02-19,1
All,Philippines,13,122,2020-02-19,1
Hubei,China,30.9756,112.2707,2020-02-19,2029
All,Iran,32,53,2020-02-19,2
France,France,46.2276,2.2137,2020-02-19,1
Guangdong,China,23.3417,113.4244,2020-02-19,5
Henan,China,33.882,113.614,2020-02-19,19
Hunan,China,27.6104,111.7088,2020-02-19,4
Anhui,China,31.8257,117.2264,2020-02-19,6
Jiangxi,China,27.614,115.7221,2020-02-19,1
Shandong,China,36.3427,118.1498,2020-02-19,3
Chongqing,China,30.0572,107.874,2020-02-19,5
Sichuan,China,30.6171,102.7103,2020-02-19,3
Heilongjiang,China,47.862,127.7615,2020-02-19,12
Beijing,China,40.1824,116.4142,2020-02-19,4
Shanghai,China,31.202,121.4491,2020-02-19,2
Hebei,China,39.549,116.1306,2020-02-19,4
Guangxi,China,23.8298,108.7881,2020-02-19,2
Yunnan,China,24.974,101.487,2020-02-19,1
Hainan,China,19.1959,109.7453,2020-02-19,4
Guizhou,China,26.8154,106.8748,2020-02-19,2
Tianjin,China,39.3054,117.323,2020-02-19,3
Gansu,China,37.8099,101.0583,2020-02-19,2
Hong Kong,China,22.3,114.2,2020-02-19,2
Liaoning,China,41.2956,122.6085,2020-02-19,1
Jilin,China,43.6661,126.1923,2020-02-19,1
Xinjiang,China,41.1129,85.2401,2020-02-19,1
All,Taiwan*,23.7,121,2020-02-19,1
All,Japan,36,138,2020-02-20,1
All,Philippines,13,122,2020-02-20,1
Hubei,China,30.9756,112.2707,2020-02-20,2144
All,Iran,32,53,2020-02-20,2
All,"Korea, South",36,128,2020-02-20,1
France,France,46.2276,2.2137,2020-02-20,1
Guangdong,China,23.3417,113.4244,2020-02-20,5
Henan,China,33.882,113.614,2020-02-20,19
Zhejiang,China,29.1832,120.0934,2020-02-20,1
Hunan,China,27.6104,111.7088,2020-02-20,4
Anhui,China,31.8257,117.2264,2020-02-20,6
Jiangxi,China,27.614,115.7221,2020-02-20,1
Shandong,China,36.3427,118.1498,2020-02-20,4
Diamond Princess,Cruise Ship,35.4437,139.638,2020-02-20,2
Chongqing,China,30.0572,107.874,2020-02-20,6
Sichuan,China,30.6171,102.7103,2020-02-20,3
Heilongjiang,China,47.862,127.7615,2020-02-20,12
Beijing,China,40.1824,116.4142,2020-02-20,4
Shanghai,China,31.202,121.4491,2020-02-20,2
Hebei,China,39.549,116.1306,2020-02-20,5
Fujian,China,26.0789,117.9874,2020-02-20,1
Guangxi,China,23.8298,108.7881,2020-02-20,2
Shaanxi,China,35.1917,108.8701,2020-02-20,1
Yunnan,China,24.974,101.487,2020-02-20,2
Hainan,China,19.1959,109.7453,2020-02-20,4
Guizhou,China,26.8154,106.8748,2020-02-20,2
Tianjin,China,39.3054,117.323,2020-02-20,3
Gansu,China,37.8099,101.0583,2020-02-20,2
Hong Kong,China,22.3,114.2,2020-02-20,2
Liaoning,China,41.2956,122.6085,2020-02-20,1
Jilin,China,43.6661,126.1923,2020-02-20,1
Xinjiang,China,41.1129,85.2401,2020-02-20,1
All,Taiwan*,23.7,121,2020-02-20,1
All,Japan,36,138,2020-02-21,1
All,Philippines,13,122,2020-02-21,1
All,Italy,43,12,2020-02-21,1
Hubei,China,30.9756,112.2707,2020-02-21,2144
All,Iran,32,53,2020-02-21,4
All,"Korea, South",36,128,2020-02-21,2
France,France,46.2276,2.2137,2020-02-21,1
Guangdong,China,23.3417,113.4244,2020-02-21,5
Henan,China,33.882,113.614,2020-02-21,19
Zhejiang,China,29.1832,120.0934,2020-02-21,1
Hunan,China,27.6104,111.7088,2020-02-21,4
Anhui,China,31.8257,117.2264,2020-02-21,6
Jiangxi,China,27.614,115.7221,2020-02-21,1
Shandong,China,36.3427,118.1498,2020-02-21,4
Diamond Princess,Cruise Ship,35.4437,139.638,2020-02-21,2
Chongqing,China,30.0572,107.874,2020-02-21,6
Sichuan,China,30.6171,102.7103,2020-02-21,3
Heilongjiang,China,47.862,127.7615,2020-02-21,12
Beijing,China,40.1824,116.4142,2020-02-21,4
Shanghai,China,31.202,121.4491,2020-02-21,2
Hebei,China,39.549,116.1306,2020-02-21,5
Fujian,China,26.0789,117.9874,2020-02-21,1
Guangxi,China,23.8298,108.7881,2020-02-21,2
Shaanxi,China,35.1917,108.8701,2020-02-21,1
Yunnan,China,24.974,101.487,2020-02-21,2
Hainan,China,19.1959,109.7453,2020-02-21,4
Guizhou,China,26.8154,106.8748,2020-02-21,2
Tianjin,China,39.3054,117.323,2020-02-21,3
Gansu,China,37.8099,101.0583,2020-02-21,2
Hong Kong,China,22.3,114.2,2020-02-21,2
Liaoning,China,41.2956,122.6085,2020-02-21,1
Jilin,China,43.6661,126.1923,2020-02-21,1
Xinjiang,China,41.1129,85.2401,2020-02-21,1
All,Taiwan*,23.7,121,2020-02-21,1
All,Japan,36,138,2020-02-22,1
All,Philippines,13,122,2020-02-22,1
All,Italy,43,12,2020-02-22,2
Hubei,China,30.9756,112.2707,2020-02-22,2346
All,Iran,32,53,2020-02-22,5
All,"Korea, South",36,128,2020-02-22,2
France,France,46.2276,2.2137,2020-02-22,1
Guangdong,China,23.3417,113.4244,2020-02-22,5
Henan,China,33.882,113.614,2020-02-22,19
Zhejiang,China,29.1832,120.0934,2020-02-22,1
Hunan,China,27.6104,111.7088,2020-02-22,4
Anhui,China,31.8257,117.2264,2020-02-22,6
Jiangxi,China,27.614,115.7221,2020-02-22,1
Shandong,China,36.3427,118.1498,2020-02-22,4
Diamond Princess,Cruise Ship,35.4437,139.638,2020-02-22,2
Chongqing,China,30.0572,107.874,2020-02-22,6
Sichuan,China,30.6171,102.7103,2020-02-22,3
Heilongjiang,China,47.862,127.7615,2020-02-22,12
Beijing,China,40.1824,116.4142,2020-02-22,4
Shanghai,China,31.202,121.4491,2020-02-22,3
Hebei,China,39.549,116.1306,2020-02-22,6
Fujian,China,26.0789,117.9874,2020-02-22,1
Guangxi,China,23.8298,108.7881,2020-02-22,2
Shaanxi,China,35.1917,108.8701,2020-02-22,1
Yunnan,China,24.974,101.487,2020-02-22,2
Hainan,China,19.1959,109.7453,2020-02-22,4
Guizhou,China,26.8154,106.8748,2020-02-22,2
Tianjin,China,39.3054,117.323,2020-02-22,3
Gansu,China,37.8099,101.0583,2020-02-22,2
Hong Kong,China,22.3,114.2,2020-02-22,2
Liaoning,China,41.2956,122.6085,2020-02-22,1
Jilin,China,43.6661,126.1923,2020-02-22,1
Xinjiang,China,41.1129,85.2401,2020-02-22,2
All,Taiwan*,23.7,121,2020-02-22,1
All,Japan,36,138,2020-02-23,1
All,Philippines,13,122,2020-02-23,1
All,Italy,43,12,2020-02-23,3
Hubei,China,30.9756,112.2707,2020-02-23,2346
All,Iran,32,53,2020-02-23,8
All,"Korea, South",36,128,2020-02-23,6
France,France,46.2276,2.2137,2020-02-23,1
Guangdong,China,23.3417,113.4244,2020-02-23,6
Henan,China,33.882,113.614,2020-02-23,19
Zhejiang,China,29.1832,120.0934,2020-02-23,1
Hunan,China,27.6104,111.7088,2020-02-23,4
Anhui,China,31.8257,117.2264,2020-02-23,6
Jiangxi,China,27.614,115.7221,2020-02-23,1
Shandong,China,36.3427,118.1498,2020-02-23,4
Diamond Princess,Cruise Ship,35.4437,139.638,2020-02-23,3
Chongqing,China,30.0572,107.874,2020-02-23,6
Sichuan,China,30.6171,102.7103,2020-02-23,3
Heilongjiang,China,47.862,127.7615,2020-02-23,12
Beijing,China,40.1824,116.4142,2020-02-23,4
Shanghai,China,31.202,121.4491,2020-02-23,3
Hebei,China,39.549,116.1306,2020-02-23,6
Fujian,China,26.0789,117.9874,2020-02-23,1
Guangxi,China,23.8298,108.7881,2020-02-23,2
Shaanxi,China,35.1917,108.8701,2020-02-23,1
Yunnan,China,24.974,101.487,2020-02-23,2
Hainan,China,19.1959,109.7453,2020-02-23,5
Guizhou,China,26.8154,106.8748,2020-02-23,2
Tianjin,China,39.3054,117.323,2020-02-23,3
Gansu,China,37.8099,101.0583,2020-02-23,2
